ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,CTR,CPC,CPM,CVR,CAC,ROI,CPC_calc,CPM_calc,ROAS_calc,Frequency
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2.0,0.0,0.011197581322434353,0.9100000115,0.10189799132187448,100.0,,-1.0,0.9100000115,0.10189799132187446,-0.5494505425069437,17861.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259,1,1.25,1.0,0.0,0.023479690068091103,1.25,0.29349612585113877,100.0,,-1.0,1.25,0.29349612585113877,-0.8,4259.0
708818,2017-08-17,2017-08-17,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1.0,1.0,0.024195499637067505,1.289999962,0.31212193612388095,100.0,1.289999962,2.8759691064238964,1.289999962,0.31212193612388095,2.229433481505712,4133.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1.0,0.0,0.01921229586935639,1.5899999936666667,0.30547550310598787,33.33333333333333,,-1.0,1.5899999936666667,0.3054755031059878,-0.20964360670507937,15615.0
708895,2017-08-17,2017-08-17,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1.0,1.0,0.009131586156515388,1.269999981,0.11597114245274404,100.0,1.269999981,2.9370079329158667,1.269999981,0.11597114245274404,2.31260470618532,10951.0
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355,1,1.5,1.0,0.0,0.042462845010615716,1.5,0.6369426751592356,100.0,,-1.0,1.5,0.6369426751592356,-0.6666666666666666,2355.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1.0,0.0,0.03157230056830141,1.0533333223333334,0.3325615625131551,33.33333333333333,,-1.0,1.0533333223333334,0.3325615625131551,-0.3164556995072905,9502.0
709059,2017-08-30,2017-08-30,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1.0,1.0,0.0477196809598473,1.4685714585714287,0.7007976146976618,14.285714285714285,10.28000021,-0.5136186869786066,1.4685714585714287,0.7007976146976618,-0.04996290627299574,14669.0
709115,2017-08-30,2017-08-30,916,103978,30-34,M,30,34,31,2305,1,0.569999993,1.0,0.0,0.04338394793926247,0.569999993,0.24728850021691978,100.0,,-1.0,0.569999993,0.24728850021691973,-1.7543859864573716,2305.0
709179,2017-08-30,2017-08-30,916,103988,35-39,M,15,16,17,4627,1,1.690000057,1.0,0.0,0.02161227577263886,1.690000057,0.3652474728765939,100.0,,-1.0,1.690000057,0.3652474728765939,-0.5917159563740773,4627.0
